topology,seed,still_connected,n_served_before,n_requests,n_served_after,rerouting_success
A,0,False,3,3,1,0.3333333333333333
A,1,False,3,3,1,0.3333333333333333
A,2,False,3,3,2,0.6666666666666666
A,3,False,3,3,2,0.6666666666666666
A,4,False,3,3,2,0.6666666666666666
A,5,False,3,3,1,0.3333333333333333
A,6,False,3,3,1,0.3333333333333333
A,7,False,3,3,2,0.6666666666666666
A,8,False,3,3,2,0.6666666666666666
A,9,False,3,3,1,0.3333333333333333
A,10,False,3,3,0,0.0
A,11,False,3,3,1,0.3333333333333333
A,12,False,3,3,2,0.6666666666666666
A,13,False,3,3,0,0.0
A,14,False,3,3,2,0.6666666666666666
A,15,False,3,3,0,0.0
A,16,False,3,3,1,0.3333333333333333
A,17,False,3,3,1,0.3333333333333333
A,18,False,3,3,2,0.6666666666666666
A,19,False,3,3,1,0.3333333333333333
A,20,False,3,3,2,0.6666666666666666
A,21,False,3,3,2,0.6666666666666666
A,22,False,3,3,2,0.6666666666666666
A,23,False,3,3,2,0.6666666666666666
A,24,False,3,3,1,0.3333333333333333
A,25,False,3,3,0,0.0
A,26,False,3,3,2,0.6666666666666666
A,27,False,3,3,2,0.6666666666666666
A,28,False,3,3,0,0.0
A,29,False,3,3,2,0.6666666666666666
C,0,True,3,3,3,1.0
C,1,True,3,3,3,1.0
C,2,True,3,3,3,1.0
C,3,True,3,3,3,1.0
C,4,True,3,3,3,1.0
C,5,True,3,3,3,1.0
C,6,True,3,3,3,1.0
C,7,True,3,3,3,1.0
C,8,True,3,3,3,1.0
C,9,True,3,3,3,1.0
C,10,True,3,3,3,1.0
C,11,True,3,3,3,1.0
C,12,True,3,3,3,1.0
C,13,True,3,3,3,1.0
C,14,True,3,3,3,1.0
C,15,True,3,3,3,1.0
C,16,True,3,3,3,1.0
C,17,True,3,3,3,1.0
C,18,True,3,3,3,1.0
C,19,True,3,3,3,1.0
C,20,True,3,3,3,1.0
C,21,True,3,3,3,1.0
C,22,True,3,3,3,1.0
C,23,True,3,3,3,1.0
C,24,True,3,3,3,1.0
C,25,True,3,3,3,1.0
C,26,True,3,3,3,1.0
C,27,True,3,3,3,1.0
C,28,True,3,3,3,1.0
C,29,True,3,3,3,1.0
