scarcity,seed,n_requests,QKD,PQC,HYBRID
0.0,0,3,1,1,1
0.0,1,3,1,2,0
0.0,2,3,2,1,0
0.0,3,3,0,3,0
0.0,4,3,0,3,0
0.0,5,3,0,2,1
0.0,6,3,1,2,0
0.0,7,3,2,1,0
0.0,8,3,1,1,1
0.0,9,3,0,2,1
0.0,10,3,1,2,0
0.0,11,3,1,2,0
0.0,12,3,0,2,1
0.0,13,3,0,3,0
0.0,14,3,1,2,0
0.0,15,3,1,2,0
0.0,16,3,1,2,0
0.0,17,3,0,3,0
0.0,18,3,1,2,0
0.0,19,3,1,2,0
0.0,20,3,3,0,0
0.0,21,3,0,3,0
0.0,22,3,0,1,2
0.0,23,3,1,0,2
0.0,24,3,0,3,0
0.0,25,3,1,2,0
0.0,26,3,1,1,1
0.0,27,3,1,0,2
0.0,28,3,0,3,0
0.0,29,3,1,2,0
0.14285714285714285,0,3,1,1,1
0.14285714285714285,1,3,1,2,0
0.14285714285714285,2,3,2,1,0
0.14285714285714285,3,3,0,3,0
0.14285714285714285,4,3,0,3,0
0.14285714285714285,5,3,0,2,1
0.14285714285714285,6,3,1,2,0
0.14285714285714285,7,3,2,1,0
0.14285714285714285,8,3,1,1,1
0.14285714285714285,9,3,0,2,1
0.14285714285714285,10,3,1,2,0
0.14285714285714285,11,3,1,2,0
0.14285714285714285,12,3,0,2,1
0.14285714285714285,13,3,0,3,0
0.14285714285714285,14,3,1,2,0
0.14285714285714285,15,3,1,2,0
0.14285714285714285,16,3,1,2,0
0.14285714285714285,17,3,0,3,0
0.14285714285714285,18,3,1,2,0
0.14285714285714285,19,3,1,2,0
0.14285714285714285,20,3,3,0,0
0.14285714285714285,21,3,0,3,0
0.14285714285714285,22,3,0,1,2
0.14285714285714285,23,3,1,0,2
0.14285714285714285,24,3,0,3,0
0.14285714285714285,25,3,1,2,0
0.14285714285714285,26,3,1,1,1
0.14285714285714285,27,3,1,0,2
0.14285714285714285,28,3,0,3,0
0.14285714285714285,29,3,1,2,0
0.2857142857142857,0,3,2,1,0
0.2857142857142857,1,3,1,2,0
0.2857142857142857,2,3,2,1,0
0.2857142857142857,3,3,0,3,0
0.2857142857142857,4,3,0,3,0
0.2857142857142857,5,3,1,2,0
0.2857142857142857,6,3,1,2,0
0.2857142857142857,7,3,2,1,0
0.2857142857142857,8,3,2,1,0
0.2857142857142857,9,3,1,2,0
0.2857142857142857,10,3,1,2,0
0.2857142857142857,11,3,1,2,0
0.2857142857142857,12,3,1,2,0
0.2857142857142857,13,3,0,3,0
0.2857142857142857,14,3,1,2,0
0.2857142857142857,15,3,1,2,0
0.2857142857142857,16,3,1,2,0
0.2857142857142857,17,3,0,3,0
0.2857142857142857,18,3,1,2,0
0.2857142857142857,19,3,1,2,0
0.2857142857142857,20,3,3,0,0
0.2857142857142857,21,3,0,3,0
0.2857142857142857,22,3,2,1,0
0.2857142857142857,23,3,3,0,0
0.2857142857142857,24,3,0,3,0
0.2857142857142857,25,3,1,2,0
0.2857142857142857,26,3,2,1,0
0.2857142857142857,27,3,3,0,0
0.2857142857142857,28,3,0,3,0
0.2857142857142857,29,3,1,2,0
0.42857142857142855,0,3,2,1,0
0.42857142857142855,1,3,1,2,0
0.42857142857142855,2,3,2,1,0
0.42857142857142855,3,3,0,3,0
0.42857142857142855,4,3,0,3,0
0.42857142857142855,5,3,1,2,0
0.42857142857142855,6,3,1,2,0
0.42857142857142855,7,3,2,1,0
0.42857142857142855,8,3,2,1,0
0.42857142857142855,9,3,1,2,0
0.42857142857142855,10,3,1,2,0
0.42857142857142855,11,3,1,2,0
0.42857142857142855,12,3,1,2,0
0.42857142857142855,13,3,0,3,0
0.42857142857142855,14,3,1,2,0
0.42857142857142855,15,3,1,2,0
0.42857142857142855,16,3,1,2,0
0.42857142857142855,17,3,0,3,0
0.42857142857142855,18,3,1,2,0
0.42857142857142855,19,3,1,2,0
0.42857142857142855,20,3,3,0,0
0.42857142857142855,21,3,0,3,0
0.42857142857142855,22,3,2,1,0
0.42857142857142855,23,3,3,0,0
0.42857142857142855,24,3,0,3,0
0.42857142857142855,25,3,1,2,0
0.42857142857142855,26,3,2,1,0
0.42857142857142855,27,3,3,0,0
0.42857142857142855,28,3,0,3,0
0.42857142857142855,29,3,1,2,0
0.5714285714285714,0,3,2,1,0
0.5714285714285714,1,3,1,2,0
0.5714285714285714,2,3,2,1,0
0.5714285714285714,3,3,0,3,0
0.5714285714285714,4,3,0,3,0
0.5714285714285714,5,3,1,2,0
0.5714285714285714,6,3,1,2,0
0.5714285714285714,7,3,2,1,0
0.5714285714285714,8,3,2,1,0
0.5714285714285714,9,3,1,2,0
0.5714285714285714,10,3,1,2,0
0.5714285714285714,11,3,1,2,0
0.5714285714285714,12,3,1,2,0
0.5714285714285714,13,3,0,3,0
0.5714285714285714,14,3,1,2,0
0.5714285714285714,15,3,1,2,0
0.5714285714285714,16,3,1,2,0
0.5714285714285714,17,3,0,3,0
0.5714285714285714,18,3,1,2,0
0.5714285714285714,19,3,1,2,0
0.5714285714285714,20,3,3,0,0
0.5714285714285714,21,3,0,3,0
0.5714285714285714,22,3,2,1,0
