attack_intensity,seed,availability,security_compliance,mean_key_pool_frac,mean_risk,frac_qkd,frac_pqc,frac_hybrid
0.0,0,1.0,1.0,0.8000000000000002,0.13537771086300907,0.75,0.25,0.0
0.0,1,1.0,1.0,0.8000000000000002,0.1369137073231553,0.5,0.5,0.0
0.0,2,1.0,1.0,0.8000000000000002,0.13801801612763173,0.5,0.5,0.0
0.0,3,1.0,1.0,0.8000000000000002,0.1378266685000919,0.0,1.0,0.0
0.0,4,1.0,1.0,0.8000000000000002,0.13611652854312184,0.5,0.5,0.0
0.0,5,1.0,1.0,0.8000000000000002,0.1390368844740743,0.5,0.5,0.0
0.0,6,1.0,1.0,0.8000000000000002,0.13705375589122448,0.5,0.5,0.0
0.0,7,1.0,1.0,0.8000000000000002,0.13185990892232255,0.75,0.25,0.0
0.0,8,1.0,1.0,0.8000000000000002,0.13742429726987232,0.75,0.25,0.0
0.0,9,1.0,1.0,0.8000000000000002,0.13559734999128378,0.25,0.75,0.0
0.0,10,1.0,1.0,0.8000000000000002,0.13510687110774225,0.5,0.5,0.0
0.0,11,1.0,1.0,0.8000000000000002,0.13464381839323455,0.5,0.5,0.0
0.0,12,1.0,1.0,0.8000000000000002,0.1360067890061763,0.25,0.75,0.0
0.0,13,1.0,1.0,0.8000000000000002,0.13806306427630083,0.0,1.0,0.0
0.0,14,1.0,1.0,0.8000000000000002,0.13649262144086632,0.5,0.5,0.0
0.0,15,1.0,1.0,0.8000000000000002,0.1362262898200301,0.25,0.75,0.0
0.0,16,1.0,1.0,0.8000000000000002,0.1319543070128501,0.5,0.5,0.0
0.0,17,1.0,1.0,0.8000000000000002,0.1338231056482536,1.0,0.0,0.0
0.0,18,1.0,1.0,0.8000000000000002,0.13873326496462418,0.75,0.25,0.0
0.0,19,1.0,1.0,0.8000000000000002,0.13376949389963805,0.5,0.5,0.0
0.0,20,1.0,1.0,0.8000000000000002,0.13722241246970926,0.75,0.25,0.0
0.0,21,1.0,1.0,0.8000000000000002,0.13278615218743214,0.25,0.75,0.0
0.0,22,1.0,1.0,0.8000000000000002,0.13357150454971428,0.5,0.5,0.0
0.0,23,1.0,1.0,0.8000000000000002,0.13093754532897556,1.0,0.0,0.0
0.0,24,1.0,1.0,0.8000000000000002,0.13512231630721044,0.25,0.75,0.0
0.0,25,1.0,1.0,0.8000000000000002,0.1348744686968245,0.5,0.5,0.0
0.0,26,1.0,1.0,0.8000000000000002,0.13842174952206657,0.75,0.25,0.0
0.0,27,1.0,1.0,0.8000000000000002,0.1382132327813013,1.0,0.0,0.0
0.0,28,1.0,1.0,0.8000000000000002,0.13234070975589357,0.25,0.75,0.0
0.0,29,1.0,1.0,0.8000000000000002,0.13519018598865623,0.75,0.25,0.0
0.1,0,1.0,1.0,0.7276431370821661,0.17778863800331807,0.75,0.25,0.0
0.1,1,1.0,1.0,0.7290167069770476,0.17937771149029613,0.25,0.75,0.0
0.1,2,1.0,1.0,0.7288578712486029,0.1807259632479308,0.5,0.5,0.0
0.1,3,1.0,1.0,0.7276699145582595,0.18021942257136267,0.0,1.0,0.0
0.1,4,1.0,1.0,0.7252800582088094,0.17871271042102116,0.25,0.75,0.0
0.1,5,1.0,1.0,0.729893441134599,0.18160517490143682,0.25,0.75,0.0
0.1,6,1.0,1.0,0.7288404664336342,0.17921020497059842,0.25,0.75,0.0
0.1,7,1.0,1.0,0.728076611625549,0.17385148795125108,0.5,0.5,0.0
0.1,8,1.0,1.0,0.7287438354227166,0.17945501586826246,0.5,0.5,0.0
