topology,n_nodes,solver,mean_AR,std_AR,mean_runtime_ms,mean_violations,mean_n_qubits
A,5,Exact,1.0,0.0,0.08170406799763441,0.0,6.0
A,5,Greedy,1.0,0.0,0.011919034295715392,0.0,6.0
A,5,MILP,1.0,0.0,0.9832415336859412,0.0,6.0
A,5,QAOA(p=2),1.0,0.0,446.5545300986075,0.0,6.0
A,5,SimulatedAnnealing,1.0,0.0,10.666915801508972,0.0,6.0
B,6,Exact,1.0,0.0,0.29676793395386386,0.0,12.0
B,6,Greedy,1.0,0.0,0.012938167492393404,0.0,12.0
B,6,MILP,1.0,0.0,1.0182007982317978,0.0,12.0
B,6,QAOA(p=2),1.2254442816904418,0.46744069075193984,1191.8710997012872,0.03333333333333333,12.0
B,6,SimulatedAnnealing,1.0,0.0,12.516451200644951,0.0,12.0
C,10,Exact,1.0,0.0,0.28082943220700446,0.0,12.0
C,10,Greedy,1.0,0.0,0.012258466449566185,0.0,12.0
C,10,MILP,1.0,0.0,1.022105933225248,0.0,12.0
C,10,QAOA(p=2),1.0247960503146019,0.1062746313446216,1197.7212285346468,0.03333333333333333,12.0
C,10,SimulatedAnnealing,1.0,0.0,12.739032468622705,0.0,12.0
D,15,Exact,1.0,0.0,0.302461100606403,0.0,12.0
D,15,Greedy,1.0,0.0,0.014485233987215906,0.0,12.0
D,15,MILP,1.0,0.0,1.0444673336072205,0.0,12.0
D,15,QAOA(p=2),1.036241264910276,0.1278200661549156,1179.2985144304112,0.03333333333333333,12.0
D,15,SimulatedAnnealing,1.0,0.0,12.778866233808609,0.0,12.0
E,20,Exact,1.0,0.0,0.3070353976606081,0.0,12.0
E,20,Greedy,1.0,0.0,0.012940568073342243,0.0,12.0
E,20,MILP,1.0,0.0,1.1154694337164983,0.0,12.0
E,20,QAOA(p=2),1.0594345621436032,0.10491016043896295,1219.6307365666144,0.0,12.0
E,20,SimulatedAnnealing,1.0,0.0,13.039306467787053,0.0,12.0
