seed,ablation,full_objective_of_ablated_solution,delta_vs_full
0,Full,1.4785795623560887,0.0
0,NoRisk (w_R=0),1.6502753195844662,0.1716957572283775
0,NoKeyPool (w_K=0),1.6941873812172332,0.21560781886114455
0,NoComputeCost (w_C=0),1.9071701642963035,0.4285906019402148
0,NoDisruption (w_D=0),1.4785795623560887,0.0
0,NoSecurityFloor (penalty=0),23.49500519909496,22.016425636738873
1,Full,1.5153478476418627,0.0
1,NoRisk (w_R=0),1.6968716640873538,0.1815238164454911
1,NoKeyPool (w_K=0),1.5153478476418627,0.0
1,NoComputeCost (w_C=0),1.8570509149502925,0.3417030673084298
1,NoDisruption (w_D=0),1.5345680822229326,0.019220234581069917
1,NoSecurityFloor (penalty=0),12.31789998583696,10.802552138195097
2,Full,1.8081750934874776,0.0
2,NoRisk (w_R=0),1.906003003259599,0.0978279097721213
2,NoKeyPool (w_K=0),1.8081750934874776,0.0
2,NoComputeCost (w_C=0),2.3090239154514904,0.5008488219640128
2,NoDisruption (w_D=0),1.8081750934874776,0.0
2,NoSecurityFloor (penalty=0),12.769053555259035,10.960878461771557
3,Full,0.9934062698966954,0.0
3,NoRisk (w_R=0),1.2050272387095902,0.21162096881289472
3,NoKeyPool (w_K=0),0.9934062698966954,0.0
3,NoComputeCost (w_C=0),0.9934062698966954,0.0
3,NoDisruption (w_D=0),1.0247455611198575,0.031339291223162036
3,NoSecurityFloor (penalty=0),0.9934062698966954,0.0
4,Full,1.350239665710177,0.0
4,NoRisk (w_R=0),1.350239665710177,0.0
4,NoKeyPool (w_K=0),1.350239665710177,0.0
4,NoComputeCost (w_C=0),1.4888552558355173,0.1386155901253403
4,NoDisruption (w_D=0),1.350239665710177,0.0
4,NoSecurityFloor (penalty=0),6.136366950507238,4.786127284797061
5,Full,1.5885678740244202,0.0
5,NoRisk (w_R=0),1.654877969857921,0.06631009583350078
5,NoKeyPool (w_K=0),1.5885678740244202,0.0
5,NoComputeCost (w_C=0),1.732021486581118,0.14345361255669786
5,NoDisruption (w_D=0),1.654877969857921,0.06631009583350078
5,NoSecurityFloor (penalty=0),7.444233085104486,5.8556652110800655
6,Full,1.4200507533009272,0.0
6,NoRisk (w_R=0),1.6334661696072885,0.2134154163063613
6,NoKeyPool (w_K=0),1.4200507533009272,0.0
6,NoComputeCost (w_C=0),1.8010577672124555,0.38100701391152825
6,NoDisruption (w_D=0),1.5116580981853076,0.09160734488438038
6,NoSecurityFloor (penalty=0),6.882040939356045,5.461990186055118
7,Full,1.611021479067631,0.0
7,NoRisk (w_R=0),1.617805337670319,0.006783858602688042
7,NoKeyPool (w_K=0),1.617805337670319,0.006783858602688042
7,NoComputeCost (w_C=0),1.9731175980901696,0.3620961190225387
7,NoDisruption (w_D=0),1.617805337670319,0.006783858602688042
7,NoSecurityFloor (penalty=0),15.96735680995846,14.356335330890829
8,Full,1.512276906897256,0.0
8,NoRisk (w_R=0),1.512276906897256,0.0
8,NoKeyPool (w_K=0),1.512276906897256,0.0
8,NoComputeCost (w_C=0),1.726624100352808,0.2143471934555521
8,NoDisruption (w_D=0),1.512276906897256,0.0
8,NoSecurityFloor (penalty=0),12.008281597948383,10.496004691051127
9,Full,1.1990505616033715,0.0
9,NoRisk (w_R=0),1.1990505616033715,0.0
9,NoKeyPool (w_K=0),1.1990505616033715,0.0
