p,seed,approximation_ratio,runtime_s,n_circuit_evals,circuit_depth
1,0,1.0,0.7188493639987428,31,13
1,1,1.0,0.8961146600049688,32,13
1,2,1.0,0.749424629000714,32,13
1,3,1.0,0.7135065879992908,32,13
1,4,1.0,0.6580194989946904,30,13
1,5,1.0,0.6184002299996791,29,13
1,6,1.0,0.6418552480026847,29,13
1,7,1.0,0.7607251499866834,31,13
1,8,1.0,0.7064042119891383,29,13
1,9,1.0,0.5988862820086069,26,13
1,10,1.0,0.9385377540020272,31,13
1,11,1.0,0.6074854210019112,27,13
1,12,1.0,0.9688793540117331,35,13
1,13,1.0,0.9241754350077827,33,13
1,14,1.0,0.809048275987152,33,13
1,15,1.0,0.8194896259956295,27,13
1,16,1.0,0.8231874820048688,27,13
1,17,1.0,0.7828532309940783,29,13
1,18,1.6927261777845293,1.0245920659945114,35,13
1,19,1.0,0.7383296799962409,31,13
1,20,1.5831998286853264,0.7307558629981941,28,13
1,21,1.0254304188253291,0.9589667100080987,33,13
1,22,1.0,0.80539122200571,34,13
1,23,1.0,0.9214772679988528,34,13
1,24,1.0,1.1047479499975452,34,13
1,25,1.041603059790731,0.5432805000018561,28,13
1,26,1.0,0.718802338000387,28,13
1,27,1.0,0.7323823870101478,32,13
1,28,1.0,0.8804292509885272,31,13
1,29,1.9744942606454108,1.0614131729962537,31,13
2,0,1.0,1.3838600429880898,53,21
2,1,1.0,1.4243753280024976,52,21
2,2,1.0,1.1206956780079054,43,21
2,3,1.0,1.2199738089984749,48,21
2,4,1.0,1.089846768998541,52,21
2,5,1.0,1.2173816379945492,54,21
2,6,1.0,0.9991931639960967,51,21
2,7,1.0,1.5846194780024234,56,21
2,8,1.402188165324376,1.213402349007083,41,21
2,9,1.0,1.1538876120030181,47,21
2,10,1.0,1.3074395099974936,48,21
2,11,1.3094981370586245,0.8671719929989194,45,21
2,12,1.0,1.3931677500077058,59,21
2,13,1.0,1.280929542001104,44,21
2,14,1.0,1.0863279609911842,48,21
2,15,1.0,1.4941813249897677,53,21
2,16,1.0,1.346618251001928,46,21
2,17,1.0,1.809429592001834,60,21
2,18,1.0,1.4743395400000736,52,21
2,19,1.0,0.8846337229915662,44,21
2,20,1.0,1.3025963060063077,51,21
2,21,1.0,1.1352502219961025,50,21
2,22,1.4623158026711018,1.056015506008407,44,21
2,23,1.0130183906485588,1.4359072279912652,45,21
2,24,1.7470877421720046,1.1796961549989646,46,21
2,25,1.0,1.3531220519944327,52,21
2,26,1.0,1.2986114959931,48,21
2,27,1.0,1.3566074179980205,55,21
2,28,1.0,0.8644528470031219,43,21
2,29,1.0,1.2192959380045068,43,21
3,0,1.0,1.8178936610056553,71,29
3,1,1.0,2.1721091529907426,76,29
3,2,1.0,1.39496398200572,67,29
3,3,1.0,1.488462105000508,65,29
3,4,1.0,1.8779861350049032,65,29
3,5,1.0,1.7663012419943698,69,29
3,6,1.0,1.8586026319972007,72,29
3,7,1.0,1.7220389639987843,64,29
3,8,1.0,1.6397641859948635,70,29
3,9,1.2994429824994496,1.6777099600003567,60,29
3,10,1.0,1.9776365930010797,73,29
3,11,1.0,1.9828864799928851,67,29
3,12,1.0,1.7959108500072034,71,29
3,13,1.0,1.8934717719967011,63,29
3,14,1.0,1.7331447010074044,61,29
3,15,1.0,1.8143582500051707,71,29
3,16,1.0,2.239313554993714,71,29
3,17,1.0,1.7007026170031168,66,29
3,18,1.0,1.5167246549972333,53,29
3,19,1.0,1.6500164400058566,62,29
3,20,1.0,1.7517668540094746,64,29
3,21,1.0,1.5986496719997376,65,29
3,22,1.0,1.7013601310027298,66,29
3,23,1.0,2.098817189995316,75,29
3,24,1.0,1.7772516260010889,73,29
3,25,1.0,1.7825817319971975,64,29
3,26,1.0,1.6623684040096123,71,29
3,27,1.0,1.6414277790026972,68,29
3,28,1.0,1.653360698997858,61,29
3,29,1.0,1.765622238002834,73,29
4,0,1.0,2.2588883169955807,80,37
4,1,1.0,1.9730069700017339,80,37
4,2,1.0,1.926325419000932,80,37
4,3,1.0,2.2732780920050573,80,37
4,4,1.0,2.4366858110006433,80,37
4,5,1.0,1.8563057129940717,72,37
4,6,1.7987383821688845,1.975658003007993,80,37
4,7,1.0,2.2063779510062886,80,37
4,8,1.0,2.2819604169926606,80,37
4,9,1.0,2.3017987850034842,80,37
4,10,1.0,2.2557250509998994,80,37
4,11,1.0,2.325820805999683,80,37
4,12,1.0,2.191851116993348,80,37
4,13,1.0,1.927887540005031,80,37
4,14,1.0,2.141423502995167,80,37
4,15,1.0,2.306996576997335,80,37
4,16,1.0,2.2590062219969695,80,37
4,17,1.0,2.474849959995481,80,37
4,18,1.6215050732310732,2.321617324996623,80,37
4,19,1.0,2.1909257380029885,77,37
4,20,1.0,2.236848581000231,80,37
4,21,1.4076194397980109,2.107447881004191,80,37
4,22,1.0,2.35786003699468,80,37
4,23,1.0,2.4005266379972454,80,37
4,24,1.484544659074116,2.320353824994527,77,37
4,25,1.0,2.0727582839899696,79,37
4,26,1.0,2.3512594560015714,80,37
4,27,1.0,2.2547138789959718,67,37
4,28,1.3067566325950646,2.369268018999719,80,37
4,29,1.0,1.994096239010105,80,37
