condition,attack_intensity,availability_mean,security_compliance_mean,mean_risk_of_solution
QOPT_Oracle,0.0,1.0,1.0,0.0803875515734998
QOPT_Oracle,0.125,1.0,1.0,0.08714819518051155
QOPT_Oracle,0.25,1.0,1.0,0.10890387059071252
QOPT_Oracle,0.375,1.0,1.0,0.12935878290147257
QOPT_Oracle,0.5,1.0,1.0,0.15109507743936507
QOPT_Oracle,0.625,1.0,1.0,0.1726438035426841
QOPT_Oracle,0.75,1.0,1.0,0.18929829624924363
QOPT_Oracle,0.875,1.0,1.0,0.2087779616500843
QOPT_Oracle,1.0,1.0,1.0,0.2262113031632738
QOPT_QTRACE,0.0,1.0,1.0,0.08630062914684986
QOPT_QTRACE,0.125,1.0,1.0,0.08753098188531591
QOPT_QTRACE,0.25,1.0,1.0,0.10820765467603953
QOPT_QTRACE,0.375,1.0,1.0,0.12698499241617792
QOPT_QTRACE,0.5,1.0,1.0,0.14806893621672762
QOPT_QTRACE,0.625,1.0,1.0,0.17452207625870161
QOPT_QTRACE,0.75,1.0,1.0,0.18481894720410458
QOPT_QTRACE,0.875,1.0,1.0,0.2086241026902419
QOPT_QTRACE,1.0,1.0,1.0,0.2187488899083186
Static,0.0,1.0,1.0,0.08055894701687295
Static,0.125,1.0,1.0,0.11262303649211493
Static,0.25,1.0,1.0,0.1437712469417395
Static,0.375,1.0,1.0,0.17534938741489228
Static,0.5,1.0,1.0,0.20522908047241958
Static,0.625,1.0,1.0,0.23861964773175348
Static,0.75,1.0,1.0,0.26800164021756767
Static,0.875,1.0,1.0,0.2998565610169047
Static,1.0,1.0,1.0,0.3297808596255083
TrustOnly,0.0,1.0,0.6333333333333333,0.020286612452602496
TrustOnly,0.125,1.0,0.6333333333333333,0.028205989724410314
TrustOnly,0.25,1.0,0.6333333333333333,0.035922795825889975
TrustOnly,0.375,1.0,0.6333333333333333,0.0442281355718822
TrustOnly,0.5,1.0,0.6333333333333333,0.05165845205567678
TrustOnly,0.625,1.0,0.85,0.1913225831561959
TrustOnly,0.75,1.0,1.0,0.3807448088557577
TrustOnly,0.875,1.0,1.0,0.427802092719826
TrustOnly,1.0,1.0,1.0,0.4708294045126901
