seed,n_qubits,solver,objective,runtime_s,violations,approximation_ratio
0,6,Greedy,1.051496078752507,1.1302006896585226e-05,0,1.0
0,6,MILP,1.051496078752507,0.0019490179984131828,0,1.0
0,6,SimulatedAnnealing,1.051496078752507,0.010104593995492905,0,1.0
0,6,Exact,1.051496078752507,0.00017568800831213593,0,1.0
0,6,QAOA(p=1),1.051496078752507,0.7933330460073194,0,1.0
0,6,QAOA(p=2),1.051496078752507,0.38239946600515395,0,1.0
0,6,QAOA(p=3),1.051496078752507,0.5019457080052234,0,1.0
1,6,Greedy,0.630187314509655,1.1496988008730114e-05,0,1.0
1,6,MILP,0.630187314509655,0.0011218310100957751,0,1.0
1,6,SimulatedAnnealing,0.630187314509655,0.009454642000491731,0,1.0
1,6,Exact,0.630187314509655,7.532400195486844e-05,0,1.0
1,6,QAOA(p=1),0.630187314509655,0.34822913599782623,0,1.0
1,6,QAOA(p=2),0.630187314509655,0.3851985410001362,0,1.0
1,6,QAOA(p=3),0.6485710373246576,0.48933246299566235,0,1.0291718388988944
2,6,Greedy,0.8204192514147444,1.2678006896749139e-05,0,1.0
2,6,MILP,0.8204192514147444,0.0010036909952759743,0,1.0
2,6,SimulatedAnnealing,0.8204192514147444,0.010051564997411333,0,1.0
2,6,Exact,0.8204192514147444,7.498200284317136e-05,0,1.0
2,6,QAOA(p=1),0.8204192514147444,0.2976178609969793,0,1.0
2,6,QAOA(p=2),0.8204192514147444,0.41531481200945564,0,1.0
2,6,QAOA(p=3),0.8204192514147444,0.4987658270110842,0,1.0
3,6,Greedy,0.579164844721376,1.2279997463338077e-05,0,1.0
3,6,MILP,0.579164844721376,0.00108969998836983,0,1.0
3,6,SimulatedAnnealing,0.579164844721376,0.010543771990342066,0,1.0
3,6,Exact,0.579164844721376,7.83300056355074e-05,0,1.0
3,6,QAOA(p=1),0.579164844721376,0.32871596500626765,0,1.0
3,6,QAOA(p=2),0.579164844721376,0.3782366200030083,0,1.0
3,6,QAOA(p=3),0.579164844721376,0.49911494000116363,0,1.0
4,6,Greedy,0.4820869803143424,1.208100002259016e-05,0,1.0
4,6,MILP,0.4820869803143424,0.0010866660013562068,0,1.0
4,6,SimulatedAnnealing,0.4820869803143424,0.009672457003034651,0,1.0
4,6,Exact,0.4820869803143424,7.486100366804749e-05,0,1.0
4,6,QAOA(p=1),0.4820869803143424,0.26923524698941037,0,1.0
4,6,QAOA(p=2),0.4820869803143424,0.4131089989969041,0,1.0
4,6,QAOA(p=3),0.4820869803143424,0.5073205689986935,0,1.0
5,6,Greedy,0.6197284223692279,2.1978994482196867e-05,0,1.0
5,6,MILP,0.6197284223692279,0.001148340990766883,0,1.0
5,6,SimulatedAnnealing,0.6197284223692279,0.009319991004304029,0,1.0
5,6,Exact,0.6197284223692279,0.0001245460007339716,0,1.0
5,6,QAOA(p=1),0.6197284223692279,0.29378033500688616,0,1.0
5,6,QAOA(p=2),0.6197284223692279,0.41736817100900225,0,1.0
5,6,QAOA(p=3),0.6197284223692279,0.5846062450000318,0,1.0
6,6,Greedy,0.8826180700337574,1.593498745933175e-05,0,1.0
6,6,MILP,0.8826180700337574,0.0012183619983261451,0,1.0
6,6,SimulatedAnnealing,0.8826180700337574,0.012273684988031164,0,1.0
6,6,Exact,0.8826180700337574,9.382600546814501e-05,0,1.0
6,6,QAOA(p=1),0.8826180700337574,0.3542043210036354,0,1.0
6,6,QAOA(p=2),0.8826180700337574,0.3824120219942415,0,1.0
6,6,QAOA(p=3),0.8826180700337574,0.49936638299550395,0,1.0
7,6,Greedy,0.6409910253716227,1.1875992640852928e-05,0,1.0
7,6,MILP,0.6409910253716227,0.0012888679921161383,0,1.0
7,6,SimulatedAnnealing,0.6409910253716227,0.00958397999056615,0,1.0
7,6,Exact,0.6409910253716227,7.560600352007896e-05,0,1.0
7,6,QAOA(p=1),0.6409910253716227,0.26588958699721843,0,1.0
7,6,QAOA(p=2),0.6409910253716227,0.43539520699414425,0,1.0
7,6,QAOA(p=3),0.6409910253716227,0.626625653996598,0,1.0
8,6,Greedy,1.0301962899663302,1.2666001566685736e-05,0,1.0
8,6,MILP,1.0301962899663302,0.0010912239958997816,0,1.0
8,6,SimulatedAnnealing,1.0301962899663302,0.009678423011791892,0,1.0
8,6,Exact,1.0301962899663302,7.747800555080175e-05,0,1.0
8,6,QAOA(p=1),1.0301962899663302,0.2704312489950098,0,1.0
8,6,QAOA(p=2),1.0301962899663302,0.4764263560064137,0,1.0
8,6,QAOA(p=3),1.0301962899663302,0.517307053989498,0,1.0
9,6,Greedy,0.8805377195066271,1.8113991245627403e-05,0,1.0
9,6,MILP,0.8805377195066271,0.0012858869886258617,0,1.0
9,6,SimulatedAnnealing,0.8805377195066271,0.00985940000100527,0,1.0
9,6,Exact,0.8805377195066271,0.00012431399954948574,0,1.0
9,6,QAOA(p=1),0.8805377195066271,0.4285202190076234,0,1.0
9,6,QAOA(p=2),0.8805377195066271,0.684151469002245,0,1.0
9,6,QAOA(p=3),0.8805377195066271,0.7421405150089413,0,1.0
10,6,Greedy,0.7070425754719878,2.376700285822153e-05,0,1.0
10,6,MILP,0.7070425754719878,0.0016834800044307485,0,1.0
10,6,SimulatedAnnealing,0.7070425754719878,0.010627141004079022,0,1.0
10,6,Exact,0.7070425754719878,0.000247098010731861,0,1.0
10,6,QAOA(p=1),0.7070425754719878,0.4852257489983458,0,1.0
10,6,QAOA(p=2),0.7070425754719878,0.4100401570030954,0,1.0
10,6,QAOA(p=3),0.7070425754719878,0.7022307440056466,0,1.0
11,6,Greedy,0.9332091140478695,1.463301305193454e-05,0,1.0
11,6,MILP,0.9332091140478695,0.001286021011765115,0,1.0
11,6,SimulatedAnnealing,0.9332091140478695,0.011473596008727327,0,1.0
11,6,Exact,0.9332091140478695,8.820100629236549e-05,0,1.0
11,6,QAOA(p=1),0.9332091140478695,0.39088712200464215,0,1.0
11,6,QAOA(p=2),0.9332091140478695,0.601473349990556,0,1.0
11,6,QAOA(p=3),0.9332091140478695,0.7201763460034272,0,1.0
12,6,Greedy,0.5822775550334427,1.4238001313060522e-05,0,1.0
12,6,MILP,0.5822775550334427,0.0010966100089717656,0,1.0
12,6,SimulatedAnnealing,0.5822775550334427,0.010705376000260003,0,1.0
12,6,Exact,0.5822775550334427,8.603199967183173e-05,0,1.0
12,6,QAOA(p=1),0.5822775550334427,0.44908748399757314,0,1.0
12,6,QAOA(p=2),0.5822775550334427,0.4294412469898816,0,1.0
12,6,QAOA(p=3),0.5822775550334427,0.5974536360008642,0,1.0
13,6,Greedy,0.3399996244661274,1.2892007362097502e-05,0,1.0
13,6,MILP,0.3399996244661274,0.001219783996930346,0,1.0
13,6,SimulatedAnnealing,0.3399996244661274,0.011793156998464838,0,1.0
13,6,Exact,0.3399996244661274,8.631400123704225e-05,0,1.0
13,6,QAOA(p=1),0.3399996244661274,0.4033924429968465,0,1.0
13,6,QAOA(p=2),0.3399996244661274,0.5858889939991059,0,1.0
13,6,QAOA(p=3),0.3399996244661274,0.7600134919921402,0,1.0
14,6,Greedy,0.7341804664672296,1.3338009011931717e-05,0,1.0
14,6,MILP,0.7341804664672296,0.0012085010093869641,0,1.0
14,6,SimulatedAnnealing,0.7341804664672296,0.01068896499054972,0,1.0
14,6,Exact,0.7341804664672296,7.983099203556776e-05,0,1.0
14,6,QAOA(p=1),0.7341804664672296,0.3917420609941473,0,1.0
14,6,QAOA(p=2),0.7341804664672296,0.7221585289953509,0,1.0
14,6,QAOA(p=3),0.7341804664672296,0.6900991040020017,0,1.0
15,6,Greedy,0.7441168478995586,1.2693009921349585e-05,0,1.0
15,6,MILP,0.7441168478995586,0.0010299279965693131,0,1.0
15,6,SimulatedAnnealing,0.7441168478995586,0.009657030997914262,0,1.0
15,6,Exact,0.7441168478995586,7.905600068625063e-05,0,1.0
15,6,QAOA(p=1),0.7441168478995586,0.36812363100762013,0,1.0
15,6,QAOA(p=2),0.7441168478995586,0.36740189300326165,0,1.0
15,6,QAOA(p=3),0.7441168478995586,0.4999577029957436,0,1.0
16,6,Greedy,0.7858520156873823,1.4671997632831335e-05,0,1.0
16,6,MILP,0.7858520156873823,0.0011017150100087747,0,1.0
16,6,SimulatedAnnealing,0.7858520156873823,0.01202703799935989,0,1.0
16,6,Exact,0.7858520156873823,9.392299398314208e-05,0,1.0
16,6,QAOA(p=1),0.7858520156873823,0.3110682859987719,0,1.0
16,6,QAOA(p=2),0.7858520156873823,0.4154507979983464,0,1.0
16,6,QAOA(p=3),0.7858520156873823,0.5613021129975095,0,1.0
17,6,Greedy,0.5818403664351646,1.1365002137608826e-05,0,1.0
17,6,MILP,0.5818403664351646,0.0010827810037881136,0,1.0
17,6,SimulatedAnnealing,0.5818403664351646,0.011086420010542497,0,1.0
17,6,Exact,0.5818403664351646,8.633499965071678e-05,0,1.0
17,6,QAOA(p=1),0.5818403664351646,0.4028601549944142,0,1.0
17,6,QAOA(p=2),0.5818403664351646,0.48464428799343295,0,1.0
17,6,QAOA(p=3),0.7345015328383493,0.5268106430012267,0,1.2623763753940163
18,6,Greedy,0.7238820791208163,1.273599627893418e-05,0,1.0
18,6,MILP,0.7238820791208163,0.0011331410059938207,0,1.0
18,6,SimulatedAnnealing,0.7238820791208163,0.010030004996224307,0,1.0
18,6,Exact,0.7238820791208163,9.24380001379177e-05,0,1.0
18,6,QAOA(p=1),0.7238820791208163,0.30549371700908523,0,1.0
18,6,QAOA(p=2),0.7238820791208163,0.4462446399993496,0,1.0
18,6,QAOA(p=3),0.7238820791208163,0.5071857670118334,0,1.0
19,6,Greedy,0.9177213587368911,1.2627002433873713e-05,0,1.0
19,6,MILP,0.9177213587368911,0.0011175359977642074,0,1.0
19,6,SimulatedAnnealing,0.9177213587368911,0.009851415001321584,0,1.0
19,6,Exact,0.9177213587368911,8.093200449366122e-05,0,1.0
19,6,QAOA(p=1),0.9177213587368911,0.2639975089987274,0,1.0
19,6,QAOA(p=2),0.9177213587368911,0.4643310920073418,0,1.0
19,6,QAOA(p=3),0.9177213587368911,0.5087111800094135,0,1.0
20,6,Greedy,0.9794970149702493,1.1921001714654267e-05,0,1.0
20,6,MILP,0.9794970149702493,0.0010119979997398332,0,1.0
20,6,SimulatedAnnealing,0.9794970149702493,0.010260841008857824,0,1.0
20,6,Exact,0.9794970149702493,7.838101009838283e-05,0,1.0
20,6,QAOA(p=1),0.9794970149702493,0.2685943559918087,0,1.0
20,6,QAOA(p=2),0.9794970149702493,0.4053753000043798,0,1.0
20,6,QAOA(p=3),0.9794970149702493,0.5329824200016446,0,1.0
21,6,Greedy,0.4636009111342112,1.4792996807955205e-05,0,1.0
21,6,MILP,0.4636009111342112,0.0011493899946799502,0,1.0
